Cl,Equipe,MP,V,E,D,GP,GC,GD,Pt,Pts/PPJ,xG,xGA,xGD,xGD/90,Últimos 5,Público,Artilheiro da equipe,Goleiro,Notas
1,Botafogo (RJ),6,5,0,1,13,6,+7,15,"2,50",9.0,8.7,+0.3,"0,06",V V V V D,,Tiquinho Soares - 6,Lucas Perri,
2,Palmeiras,6,4,2,0,16,6,+10,14,"2,33",12.2,4.8,+7.4,"+1,24",E V V V E,8.959,Raphael Veiga - 4,Wéverton,
3,Fluminense,6,4,1,1,12,5,+7,13,"2,17",9.2,10.9,-1.7,"-0,28",V D E V V,12.866,"Ganso, Germán Cano... - 2",Fábio,
4,Cruzeiro,6,4,0,2,11,5,+6,12,"2,00",10.4,7.6,+2.8,"0,47",V V V D V,7.202,Gilberto - 3,Rafael Cabral,
5,Atl Paranaense,6,4,0,2,10,7,+3,12,"2,00",7.2,6.6,+0.7,"0,11",D D V V V,16.852,"Willian, Christian... - 2",Bento,
6,Atlético Mineiro,6,3,1,2,9,5,+4,10,"1,67",9.7,5.4,+4.2,"0,70",E V D V V,12.027,Hulk - 3,Éverson,
7,Santos,6,3,1,2,8,5,+3,10,"1,67",7.7,9.0,-1.3,"-0,22",E V D V V,,"Stiven Mendoza, Ângelo Borges... - 2",João Paulo,
8,Fortaleza,6,2,4,0,9,4,+5,10,"1,67",12.1,5.5,+6.6,"+1,10",V V E E E,,Moises - 3,Fernando Miguel,
9,Flamengo,6,3,0,3,12,9,+3,9,"1,50",12.6,6.2,+6.3,"+1,05",D D D V V,31.995,Gabriel Barbosa - 3,Santos,
10,São Paulo,6,2,3,1,8,4,+4,9,"1,50",8.5,6.7,+1.8,"0,30",V E V E E,43.550,"Luciano, Jonathan Calleri... - 2",Rafael Pires,
11,Grêmio,6,2,2,2,7,9,-2,8,"1,33",6.4,10.1,-3.7,"-0,62",D V E D E,5.799,Everton - 2,Gabriel Chapecó,
12,Internacional,6,2,1,3,4,8,-4,7,"1,17",5.2,8.7,-3.5,"-0,58",V V D D D,,Mauricio - 2,Keiller,
13,Bragantino,6,1,4,1,9,11,-2,7,"1,17",8.9,8.9,0.0,"-0,01",E D E E E,,"Eduardo Sasha, Helinho... - 2",Lucão,
14,Bahia,6,2,0,4,8,11,-3,6,"1,00",6.4,7.9,-1.5,"-0,25",D V V D D,21.919,Gabriel Teixeira - 2,Marcos Felipe,
15,Goiás,6,2,0,4,5,12,-7,6,"1,00",6.3,8.4,-2.1,"-0,36",V D D D V,5.061,"Apodi, Maguinho... - 1","Tadeu, Marcelo Rangel",
16,Vasco da Gama,6,1,3,2,6,7,-1,6,"1,00",7.3,6.9,+0.3,"0,05",E D E E D,6.159,"Pedro Raul, Gabriel Chaves - 2",Leonardo César Jardim,
17,Corinthians,6,1,2,3,6,11,-5,5,"0,83",5.0,7.4,-2.4,"-0,40",D D E D E,39.645,Roger Guedes - 3,Cássio,
18,Cuiabá,6,1,1,4,5,12,-7,4,"0,67",4.7,10.1,-5.4,"-0,90",E D V D D,,"Marllon Borges, Ronald... - 1",Walter,
19,Coritiba,6,0,2,4,5,14,-9,2,"0,33",4.6,10.0,-5.4,"-0,90",D E D E D,,"Zé Roberto, Gabriel Boschilia... - 1",Gabriel,
20,América (MG),6,0,1,5,5,17,-12,1,"0,17",8.5,11.9,-3.4,"-0,57",D D D E D,1.432,Aloísio dos Santos Gonçalves - 3,Matheus Cavichioli,
